Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25111,23,NDVI,-0.053317161,0.7373643957,0.7398432545,2.1665893E-8
25111,23,PlantCount,0.0706117888,0.6567809845,0.145615215,0.3575035176
25111,23,Thresh,0.0011647671,0.9941589443,0.7394430528,2.2250817E-8
25111,30,ExG,-0.006075534,0.9695393656,0.7500570325,1.0795684E-8
25111,30,ExR,0.0544572669,0.7319543097,-0.786753951,6.533022E-10
25111,30,GNDRE,-0.064201562,0.6862610085,0.7700425047,2.4972649E-9
25111,30,GNDVI,-0.051721169,0.7449587989,0.8237592088,2.084975E-11
25111,30,HA,0.0204908122,0.8975147463,-0.283866644,0.0684811829
25111,30,NDVI,-0.044682933,0.7787259295,0.8181270878,3.700386E-11
25111,30,PlantCount,0.03654127,0.8182903906,-0.304577099,0.0498566714
25111,30,Thresh,-0.045922284,0.7727487426,0.8047424959,1.341328E-10
25111,37,ExG,-0.077495402,0.6256874223,0.7984336066,2.379609E-10
25111,37,ExR,0.0919222005,0.5626068145,-0.890166329,3.095744E-15
25111,37,GNDRE,-0.015210394,0.9238341261,0.7646696561,3.7538647E-9
25111,37,GNDVI,-0.058221525,0.7141840608,0.8465255381,1.63826E-12
25111,37,HA,-0.131271635,0.4072979298,0.0365251757,0.8183690787
25111,37,NDVI,-0.074646852,0.6384808338,0.8651158675,1.482665E-13
25111,37,PlantCount,-0.090909491,0.5669368658,-0.279299312,0.0732487291
25111,37,Thresh,-0.110340203,0.4866577101,0.8851899178,7.162245E-15
25111,42,ExG,-0.091048175,0.56634299,0.887548868,4.836145E-15
25111,42,ExR,0.1012681242,0.5233889292,-0.968324971,1.018044E-25
25111,42,GNDRE,0.1012681242,0.5233889292,-0.968324971,1.018044E-25
25111,42,GNDVI,-0.026686316,0.8667740218,0.9244856395,2.384727E-18
25111,42,HA,-0.03685781,0.8167431322,-0.206348975,0.1898243563
25111,42,NDVI,-0.051412843,0.746428723,0.967895781,1.327262E-25
25111,42,PlantCount,0.0194852627,0.9025192548,-0.462899331,0.0020229597
25111,42,Thresh,-0.100643205,0.5259684996,0.9987488483,1.148359E-53
25112,10,ExG,-0.180385112,0.5747875279,0.6248260153,0.0298354799
25112,10,ExR,-0.180385112,0.5747875279,0.6248260153,0.0298354799
25112,10,GNDRE,0.0778724567,0.8099018164,0.106399212,0.7420704788
25112,10,GNDVI,-0.451416405,0.1407309227,0.6021842149,0.0382684336
25112,10,HA,-0.356235021,0.2557213015,0.3553396738,0.2570035589
25112,10,NDVI,-0.670092563,0.0171101161,0.6712199211,0.0168558375
25112,10,PlantCount,-0.419510899,0.1745978733,0.4451694962,0.1469974824
25112,10,Thresh,-0.730658544,0.0069532127,0.8143747484,0.0012592853
25112,16,ExG,-0.472178142,0.1211539245,0.737567081,0.0061846561
25112,16,ExR,0.6129382795,0.0340756977,-0.66283719,0.0188144839
25112,16,GNDRE,-0.370446758,0.2358699318,0.3569685198,0.2546736204
25112,16,GNDVI,-0.552107104,0.0627069465,0.7128913103,0.0092585668
25112,16,HA,0.562585486,0.0568828138,-0.571921041,0.0520213503
25112,16,NDVI,-0.611929657,0.0344542625,0.6642144967,0.0184817798
25112,16,PlantCount,0.7060140232,0.010288677,-0.747764661,0.0051692078
25112,16,Thresh,-0.636638546,0.0260121744,0.8020035595,0.0017004873
25112,23,ExG,-0.527424906,0.0780319495,0.7174031976,0.0086258957
25112,23,ExR,0.5531939077,0.0620844534,-0.736186504,0.0063328662
25112,23,GNDRE,-0.163368617,0.6119276215,0.6368210393,0.0259560472
25112,23,GNDVI,-0.195655997,0.5422478356,0.7536401712,0.0046444667
25112,23,HA,-0.235600486,0.4610252102,0.6732935986,0.0163953762
25112,23,NDVI,-0.565678232,0.0552385841,0.8086220343,0.0014518309
25112,23,PlantCount,-0.06265415,0.846616235,0.5777487961,0.0491387346
25112,23,Thresh,-0.566064736,0.0550354645,0.7754394729,0.0030413357
25112,30,ExG,-0.701990948,0.0109294653,0.7918705689,0.0021429502
25112,30,ExR,0.7300490447,0.0070242998,-0.829699442,0.0008412205
25112,30,GNDRE,-0.240945797,0.4506132225,0.3867324352,0.2142845044
25112,30,GNDVI,-0.586281592,0.0451235124,0.7777139546,0.0029023891
25112,30,HA,0.0868888465,0.7883098484,-0.2062878,0.5200620729
25112,30,NDVI,-0.648555966,0.022527586,0.7965150084,0.001930415
25112,30,PlantCount,0.1227741383,0.7038511245,-0.148289406,0.6455591457
25112,30,Thresh,-0.717806183,0.0085710033,0.8386001432,0.0006534585
25112,37,ExG,-0.56095026,0.0577658165,0.828603714,0.0008669394
25112,37,ExR,0.6085070755,0.0357612937,-0.909050965,0.0000419997
25112,37,GNDRE,-0.405791983,0.190599041,0.8039226275,0.0016252655
25112,37,GNDVI,-0.452961976,0.1392075546,0.8531392745,0.0004182202
25112,37,HA,-0.116241386,0.7190286737,0.0728262137,0.8220405729
25112,37,NDVI,-0.515220023,0.0864794493,0.9022999355,0.000059383
25112,37,PlantCount,-0.134457992,0.6769548734,0.253200348,0.4271729426
25112,37,Thresh,-0.588119301,0.0442900943,0.9165943478,0.0000275981
25112,42,ExG,-0.611993876,0.0344300702,0.8716520366,0.0002202709
25112,42,ExR,0.6594038086,0.0196629206,-0.969981006,1.8254825E-7
25112,42,GNDRE,0.6594038086,0.0196629206,-0.969981006,1.8254825E-7
25112,42,GNDVI,-0.377948685,0.2257723202,0.8026174682,0.0016761396
25112,42,HA,0.0934402257,0.7727054507,0.3845175951,0.2171470997
25112,42,NDVI,-0.557987435,0.0593899553,0.9489091511,2.515483E-6
25112,42,PlantCount,-0.122279622,0.7049966462,0.5468589072,0.0657739327
25112,42,Thresh,-0.627470433,0.0289465372,1,0
25113,10,ExG,-0.352099179,0.352741447,0.6692703556,0.0486565249
25113,10,ExR,-0.352099179,0.352741447,0.6692703556,0.0486565249
25113,10,GNDRE,-0.111650416,0.7748972216,0.7216733219,0.0281660967
25113,10,GNDVI,-0.50479302,0.1657521021,0.8591524764,0.0030001345
25113,10,HA,-0.008892447,0.9818856499,0.6440387714,0.0612027112
25113,10,NDVI,-0.274507159,0.4747149855,0.7557727705,0.018489811
25113,10,PlantCount,0.1905605182,0.6233497251,0.550337887,0.12469729
25113,10,Thresh,-0.213392531,0.5814404131,0.7538711047,0.0189601957
25113,16,ExG,-0.356130273,0.3468668345,0.6893085211,0.0399650993
25113,16,ExR,0.2643456568,0.4918608373,-0.689003577,0.0400892018
25113,16,GNDRE,-0.50118046,0.1693014864,0.5237086031,0.1478716689
25113,16,GNDVI,-0.60658865,0.0832923582,0.822901544,0.006442355
25113,16,HA,0.4020564899,0.2834024534,-0.464114042,0.2082111804
25113,16,NDVI,-0.50878471,0.1618804158,0.8072529106,0.0085246684
25113,16,PlantCount,0.4575060988,0.2156231609,-0.652338206,0.0568737518
25113,16,Thresh,-0.434384096,0.2426815315,0.9063377629,0.0007547239
25113,23,ExG,-0.45403303,0.2195762065,0.8166515572,0.0072267559
25113,23,ExR,0.3708707283,0.3257969526,-0.869045745,0.0023486979
25113,23,GNDRE,-0.238706521,0.53621397,0.7502660271,0.0198735922
25113,23,GNDVI,-0.52134864,0.1500379631,0.8964922307,0.0010602512
25113,23,HA,-0.295805518,0.4396187119,0.3527341668,0.3518128852
25113,23,NDVI,-0.576629759,0.1040851913,0.8980558554,0.0010068315
25113,23,PlantCount,-0.214117798,0.5801259434,0.396398054,0.2908707437
25113,23,Thresh,-0.611251435,0.0803091887,0.8973486297,0.0010307551
