Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2501,3,29,2921.782696,0.94480697,4.3260808435,0.002729332522704303
SVREC_2025,2501,4,16,2411.347945,0.98228411,4.436757236,0.0016222274043683586
SVREC_2025,2501,4,7,3537.513347,0.982247334,4.619051266,0.0028321847764467764
SVREC_2025,2501,4,22,3130.767957,0.98691381,4.7756439685,0.0024299283584167963
SVREC_2025,2501,4,12,1906.704916,0.985273211,4.924981664,0.001807235041244111
SVREC_2025,2501,4,1,3020.713583,0.981792334,4.405190551,0.002226368480935066
SVREC_2025,2501,4,20,3217.70314,0.979696357,4.559947611,0.0025181526759946345
SVREC_2025,2501,4,21,2341.175341,0.976816243,4.416710518,0.0022769963582611108
SVREC_2025,2501,4,2,3459.584646,0.980443262,4.307760476,0.0019317491935028903
SVREC_2025,2501,4,14,2882.803534,0.97411829,4.8323511745,0.0030338589152028275
SVREC_2025,2501,4,30,2390.812344,0.97475622,4.177638007,0.001672685149585896
SVREC_2025,2501,4,8,2888.931582,0.961341475,4.5057543935,0.0017665074846915493
SVREC_2025,2501,4,6,2796.343384,0.966588896,3.916089981,0.0031536998784233777
SVREC_2025,2501,4,26,2305.023238,0.97668696,4.286567942,0.0023398045007209157
SVREC_2025,2501,4,25,2102.902295,0.971638962,4.303466986,0.002029805745187998
SVREC_2025,2501,4,5,2278.344728,0.977141816,4.4945578545,0.0033493888811797303
SVREC_2025,2501,4,19,2822.477434,0.974994077,4.39868316,0.0020944960891108016
SVREC_2025,2501,4,17,1698.426037,0.982483002,4.4883466325,0.00203737464677841
SVREC_2025,2501,4,15,2321.030344,0.963762304,4.34392118,0.002401862472967757
SVREC_2025,2501,4,9,2457.192865,0.976780214,4.6357072625,0.002372393472443829
SVREC_2025,2501,4,11,1785.500096,0.979258557,4.2772282735000005,0.0013803291602897218
SVREC_2025,2501,4,18,2151.989197,0.976378814,4.317295931,0.002128808991843635
SVREC_2025,2501,4,29,2715.146798,0.976504684,4.3375397715,0.0026815093971799516
SVREC_2025,2501,4,27,2537.28961,0.976378814,4.3137724905,0.002134453323916516
SVREC_2025,2501,4,24,2268.439601,0.963982356,4.24509197,0.002449817451062087
SVREC_2025,2501,4,10,2277.895717,0.974683775,4.350259048,0.001891506670082525
SVREC_2025,2501,4,3,2925.180118,0.981589836,4.3103860345,0.0013465426689748183
SVREC_2025,2501,4,23,3280.815945,0.988627044,4.445991769,0.0013429569917552538
SVREC_2025,2501,4,28,2457.192865,0.979950788,4.520217662,0.001677823639751605
SVREC_2025,2501,4,13,2527.72465,0.981080145,4.637217238,0.0016391446318362209
SVREC_2025,2501,4,4,2702.955012,0.972332592,4.47977863,0.0017455951220265214
SVREC_2025,2502,1,35,2554.977854,0.977746186,4.563689807,0.002022653073900015
SVREC_2025,2502,1,5,1877.931703,0.965148919,4.504683706,0.0024154881872691446
SVREC_2025,2502,1,30,2321.849746,0.980862116,4.319359792,0.001014349682170258
SVREC_2025,2502,1,8,2150.501488,0.966882951,4.0225899875,0.0030170540281682697
SVREC_2025,2502,1,1,2507.106803,0.943822682,4.298573826,0.001962086069005873
SVREC_2025,2502,1,10,2025.010323,0.982411373,4.145708392,0.0013896609463213351
SVREC_2025,2502,1,25,2500.475898,0.983578172,4.374303035,0.0016140806212728434
SVREC_2025,2502,1,29,2288.403514,0.970000182,4.42073096,0.0022634994184486225
SVREC_2025,2502,1,21,2479.224289,0.982776846,5.8777434175,0.002898337171810566
SVREC_2025,2502,1,36,2620.922652,0.994386323,6.8395864425,0.0024232401813834145
SVREC_2025,2502,1,34,2161.963655,0.967517909,4.1922264215,0.002956327579088463
SVREC_2025,2502,1,11,2058.128505,0.978620639,4.334403086,0.0023336792076391034
SVREC_2025,2502,1,16,3049.955048,0.987551262,4.144589905,0.0014001208084684716
SVREC_2025,2502,1,32,3044.601522,0.948675889,4.1981377455,0.0016331428520478884
SVREC_2025,2502,1,18,2636.191281,0.97960374,4.288919434,0.0010910715441300816
SVREC_2025,2502,1,12,2750.242702,0.94885908,4.1578925205,0.002489952374837881
SVREC_2025,2502,1,28,2518.499016,0.954995352,4.084275046,0.0016848927777775445
SVREC_2025,2502,1,20,2341.22729,0.983065986,4.3693996935,0.002745896999259232
SVREC_2025,2502,1,17,2577.556064,0.957387089,3.98650053,0.0028095606794972723
SVREC_2025,2502,1,31,2662.406376,0.981682979,4.10538521,0.002545995645489762
SVREC_2025,2502,1,4,3166.35798,0.952977199,4.1138658565,0.0018919803254020032
SVREC_2025,2502,1,7,3082.456789,0.952666497,4.102805856,0.0028955033699733386
SVREC_2025,2502,1,9,3617.744959,0.941657857,3.7343084,0.0035113937869539337
SVREC_2025,2502,1,22,3289.174621,0.929372095,4.255006452,0.0012226049398356862
SVREC_2025,2502,1,24,2868.164538,0.959682858,4.1898820615,0.001939915784070181
SVREC_2025,2502,1,19,2574.870799,0.956471811,4.19490324,0.002168657310213304
SVREC_2025,2502,1,26,3402.653351,0.962525518,4.0709386145,0.002090550469267255
SVREC_2025,2502,1,15,2618.14855,0.971965513,3.791211795,0.0015208048198942876
SVREC_2025,2502,1,6,3141.613573,0.936883737,4.2454804715,0.0020357000326532274
SVREC_2025,2502,1,23,3070.166843,0.964368382,4.254965272,0.0019430415441588716
SVREC_2025,2502,2,18,3037.683071,0.926451825,4.139438067,0.0018411894491123515
SVREC_2025,2502,2,8,2794.248512,0.961743853,4.0919677105,0.0025080126835824155
SVREC_2025,2502,2,12,2151.989197,0.970619327,4.5463278375,0.0018715735912686194
SVREC_2025,2502,2,26,2839.627905,0.955346565,3.948857044,0.0031091846067434134
SVREC_2025,2502,2,14,2488.357548,0.968378078,4.5096153095,0.0024839288150414764
SVREC_2025,2502,2,33,2907.809271,0.946597164,3.740410057,0.0028535563836218215
SVREC_2025,2502,2,34,2942.167227,0.959533358,4.3240025665,0.0022666873557490533
SVREC_2025,2502,2,24,3039.973905,0.962906254,4.134079353,0.002681698937431415
SVREC_2025,2502,2,5,2747.34204,0.944373565,3.957199064,0.0027652442382539283
SVREC_2025,2502,2,29,2638.154167,0.950878536,4.22685075,0.0024309678082265742
SVREC_2025,2502,2,27,2882.803534,0.942771743,4.0824751505,0.003741016183345389
SVREC_2025,2502,2,21,2286.277127,0.911312811,4.386506514,0.003060970837800203
